Expansion[0.0002]  Contingency[0.2589]  Comparison[0.0009]  Temporal[0.7399]  Temporal
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0001]  Contingency[0.9886]  Comparison[0.0006]  Temporal[0.0107]  Contingency
Expansion[0.9723]  Contingency[0.0167]  Comparison[0.0018]  Temporal[0.0092]  Expansion
Expansion[0.9508]  Contingency[0.0020]  Comparison[0.0430]  Temporal[0.0042]  Expansion
Expansion[0.9723]  Contingency[0.0167]  Comparison[0.0018]  Temporal[0.0092]  Expansion
Expansion[0.0003]  Contingency[0.9583]  Comparison[0.0021]  Temporal[0.0393]  Contingency
Expansion[0.0330]  Contingency[0.0004]  Comparison[0.9654]  Temporal[0.0012]  Comparison
Expansion[0.9914]  Contingency[0.0055]  Comparison[0.0010]  Temporal[0.0020]  Expansion
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
Expansion[0.1760]  Contingency[0.0167]  Comparison[0.6248]  Temporal[0.1826]  Comparison
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.9667]  Contingency[0.0075]  Comparison[0.0066]  Temporal[0.0192]  Expansion
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9945]  Contingency[0.0005]  Comparison[0.0040]  Temporal[0.0010]  Expansion
Expansion[0.9849]  Contingency[0.0023]  Comparison[0.0070]  Temporal[0.0058]  Expansion
Expansion[0.9927]  Contingency[0.0024]  Comparison[0.0024]  Temporal[0.0024]  Expansion
Expansion[0.9910]  Contingency[0.0008]  Comparison[0.0066]  Temporal[0.0017]  Expansion
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
Expansion[0.0026]  Contingency[0.0584]  Comparison[0.0004]  Temporal[0.9386]  Temporal
Expansion[0.0064]  Contingency[0.0402]  Comparison[0.9263]  Temporal[0.0270]  Comparison
Expansion[0.1760]  Contingency[0.0167]  Comparison[0.6248]  Temporal[0.1826]  Comparison
Expansion[0.0407]  Contingency[0.0536]  Comparison[0.4258]  Temporal[0.4798]  Temporal
Expansion[0.0041]  Contingency[0.0576]  Comparison[0.0466]  Temporal[0.8917]  Temporal
Expansion[0.0052]  Contingency[0.6970]  Comparison[0.0154]  Temporal[0.2824]  Contingency
Expansion[0.9470]  Contingency[0.0043]  Comparison[0.0376]  Temporal[0.0111]  Expansion
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9723]  Contingency[0.0167]  Comparison[0.0018]  Temporal[0.0092]  Expansion
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
Expansion[0.0124]  Contingency[0.0031]  Comparison[0.9766]  Temporal[0.0079]  Comparison
Expansion[0.9723]  Contingency[0.0167]  Comparison[0.0018]  Temporal[0.0092]  Expansion
