none[0.3846]  arg1_node[0.6124]  arg2_node[0.0030]  arg1_node
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.8770]  arg1_node[0.1215]  arg2_node[0.0015]  none
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.9606]  arg1_node[0.0365]  arg2_node[0.0029]  none
none[0.9963]  arg1_node[0.0030]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0002]  arg2_node[0.0012]  none
none[0.0552]  arg1_node[0.0003]  arg2_node[0.9445]  arg2_node
none[0.9584]  arg1_node[0.0001]  arg2_node[0.0415]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.2930]  arg1_node[0.6993]  arg2_node[0.0077]  arg1_node
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9698]  arg1_node[0.0260]  arg2_node[0.0042]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9969]  arg1_node[0.0021]  arg2_node[0.0011]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9962]  arg1_node[0.0027]  arg2_node[0.0011]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9982]  arg1_node[0.0001]  arg2_node[0.0016]  none
none[0.0396]  arg1_node[0.0002]  arg2_node[0.9602]  arg2_node
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9422]  arg1_node[0.0000]  arg2_node[0.0578]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9957]  arg1_node[0.0000]  arg2_node[0.0042]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9845]  arg1_node[0.0151]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9853]  arg1_node[0.0143]  arg2_node[0.0005]  none
none[0.3200]  arg1_node[0.6791]  arg2_node[0.0009]  arg1_node
none[0.9986]  arg1_node[0.0009]  arg2_node[0.0005]  none
none[0.9986]  arg1_node[0.0009]  arg2_node[0.0005]  none
none[0.9986]  arg1_node[0.0009]  arg2_node[0.0005]  none
none[0.9986]  arg1_node[0.0009]  arg2_node[0.0005]  none
none[0.9986]  arg1_node[0.0009]  arg2_node[0.0005]  none
none[0.9986]  arg1_node[0.0009]  arg2_node[0.0005]  none
none[0.8539]  arg1_node[0.1451]  arg2_node[0.0010]  none
none[0.9991]  arg1_node[0.0001]  arg2_node[0.0008]  none
none[0.0770]  arg1_node[0.0003]  arg2_node[0.9227]  arg2_node
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9971]  arg1_node[0.0001]  arg2_node[0.0028]  none
none[0.9971]  arg1_node[0.0001]  arg2_node[0.0028]  none
none[0.9705]  arg1_node[0.0000]  arg2_node[0.0294]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.1232]  arg1_node[0.8767]  arg2_node[0.0001]  arg1_node
none[0.9982]  arg1_node[0.0012]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0012]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0012]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0012]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0012]  arg2_node[0.0007]  none
none[0.9986]  arg1_node[0.0009]  arg2_node[0.0005]  none
none[0.9812]  arg1_node[0.0186]  arg2_node[0.0002]  none
none[0.9982]  arg1_node[0.0012]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0012]  arg2_node[0.0007]  none
none[0.9853]  arg1_node[0.0143]  arg2_node[0.0005]  none
none[0.3200]  arg1_node[0.6791]  arg2_node[0.0009]  arg1_node
