none[0.8820]  arg1_node[0.0709]  arg2_node[0.0471]  none
none[0.0970]  arg1_node[0.8864]  arg2_node[0.0166]  arg1_node
none[0.7145]  arg1_node[0.0060]  arg2_node[0.2795]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9958]  arg1_node[0.0003]  arg2_node[0.0039]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.3727]  arg1_node[0.0001]  arg2_node[0.6272]  arg2_node
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0031]  none
none[0.9834]  arg1_node[0.0000]  arg2_node[0.0166]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0000]  arg2_node[0.0032]  none
none[0.9968]  arg1_node[0.0000]  arg2_node[0.0032]  none
none[0.9395]  arg1_node[0.0598]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9924]  arg1_node[0.0069]  arg2_node[0.0006]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9986]  arg1_node[0.0007]  arg2_node[0.0007]  none
none[0.9977]  arg1_node[0.0011]  arg2_node[0.0012]  none
none[0.9986]  arg1_node[0.0007]  arg2_node[0.0007]  none
none[0.9986]  arg1_node[0.0007]  arg2_node[0.0007]  none
none[0.9977]  arg1_node[0.0011]  arg2_node[0.0012]  none
none[0.9977]  arg1_node[0.0011]  arg2_node[0.0012]  none
none[0.9977]  arg1_node[0.0011]  arg2_node[0.0012]  none
none[0.9977]  arg1_node[0.0011]  arg2_node[0.0012]  none
none[0.9977]  arg1_node[0.0011]  arg2_node[0.0012]  none
