none[0.9590]  arg1_node[0.0360]  arg2_node[0.0049]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9742]  arg1_node[0.0255]  arg2_node[0.0003]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.4666]  arg1_node[0.5324]  arg2_node[0.0011]  arg1_node
none[0.2550]  arg1_node[0.7408]  arg2_node[0.0042]  arg1_node
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9659]  arg1_node[0.0315]  arg2_node[0.0026]  none
none[0.9968]  arg1_node[0.0025]  arg2_node[0.0007]  none
none[0.9949]  arg1_node[0.0044]  arg2_node[0.0007]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9988]  arg1_node[0.0002]  arg2_node[0.0010]  none
none[0.0625]  arg1_node[0.0003]  arg2_node[0.9372]  arg2_node
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9964]  arg1_node[0.0001]  arg2_node[0.0036]  none
none[0.9964]  arg1_node[0.0001]  arg2_node[0.0036]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9964]  arg1_node[0.0001]  arg2_node[0.0036]  none
none[0.9634]  arg1_node[0.0001]  arg2_node[0.0366]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9598]  arg1_node[0.0400]  arg2_node[0.0002]  none
none[0.6597]  arg1_node[0.2073]  arg2_node[0.1330]  none
none[0.9498]  arg1_node[0.0499]  arg2_node[0.0002]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9674]  arg1_node[0.0001]  arg2_node[0.0325]  none
none[0.9981]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9980]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
