none[0.8657]  arg1_node[0.0909]  arg2_node[0.0434]  none
none[0.0763]  arg1_node[0.9114]  arg2_node[0.0123]  arg1_node
none[0.7259]  arg1_node[0.0080]  arg2_node[0.2661]  none
none[0.9987]  arg1_node[0.0007]  arg2_node[0.0007]  none
none[0.9960]  arg1_node[0.0003]  arg2_node[0.0037]  none
none[0.9987]  arg1_node[0.0007]  arg2_node[0.0007]  none
none[0.3879]  arg1_node[0.0002]  arg2_node[0.6119]  arg2_node
none[0.9971]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.9844]  arg1_node[0.0000]  arg2_node[0.0156]  none
none[0.9971]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.9971]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.9971]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.9971]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.0601]  arg1_node[0.9301]  arg2_node[0.0099]  arg1_node
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.7202]  arg1_node[0.0103]  arg2_node[0.2695]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9958]  arg1_node[0.0004]  arg2_node[0.0037]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0009]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0008]  arg2_node[0.0007]  none
none[0.9985]  arg1_node[0.0009]  arg2_node[0.0007]  none
none[0.3830]  arg1_node[0.0002]  arg2_node[0.6167]  arg2_node
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9841]  arg1_node[0.0000]  arg2_node[0.0159]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9971]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0037]  none
none[0.9971]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.9971]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.9971]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.0630]  arg1_node[0.9355]  arg2_node[0.0015]  arg1_node
none[0.9563]  arg1_node[0.0434]  arg2_node[0.0003]  none
none[0.9595]  arg1_node[0.0001]  arg2_node[0.0404]  none
none[0.0858]  arg1_node[0.0043]  arg2_node[0.9099]  arg2_node
none[0.9975]  arg1_node[0.0001]  arg2_node[0.0024]  none
none[0.9975]  arg1_node[0.0001]  arg2_node[0.0024]  none
none[0.9975]  arg1_node[0.0001]  arg2_node[0.0024]  none
none[0.9975]  arg1_node[0.0001]  arg2_node[0.0024]  none
none[0.9975]  arg1_node[0.0001]  arg2_node[0.0024]  none
none[0.9975]  arg1_node[0.0001]  arg2_node[0.0024]  none
none[0.9975]  arg1_node[0.0001]  arg2_node[0.0024]  none
none[0.9975]  arg1_node[0.0001]  arg2_node[0.0024]  none
none[0.9975]  arg1_node[0.0001]  arg2_node[0.0024]  none
none[0.9975]  arg1_node[0.0001]  arg2_node[0.0024]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0031]  none
