none[0.9784]  arg1_node[0.0211]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9756]  arg1_node[0.0241]  arg2_node[0.0003]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.6291]  arg1_node[0.3701]  arg2_node[0.0007]  none
none[0.4336]  arg1_node[0.5653]  arg2_node[0.0010]  arg1_node
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.8549]  arg1_node[0.1446]  arg2_node[0.0006]  none
none[0.9016]  arg1_node[0.0972]  arg2_node[0.0011]  none
none[0.9691]  arg1_node[0.0287]  arg2_node[0.0022]  none
none[0.9954]  arg1_node[0.0040]  arg2_node[0.0006]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9990]  arg1_node[0.0001]  arg2_node[0.0009]  none
none[0.0715]  arg1_node[0.0003]  arg2_node[0.9282]  arg2_node
none[0.9457]  arg1_node[0.0001]  arg2_node[0.0543]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9681]  arg1_node[0.0001]  arg2_node[0.0318]  none
none[0.1096]  arg1_node[0.8900]  arg2_node[0.0004]  arg1_node
none[0.9986]  arg1_node[0.0005]  arg2_node[0.0009]  none
none[0.0670]  arg1_node[0.0009]  arg2_node[0.9321]  arg2_node
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9658]  arg1_node[0.0002]  arg2_node[0.0340]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9730]  arg1_node[0.0243]  arg2_node[0.0027]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9974]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9385]  arg1_node[0.0608]  arg2_node[0.0007]  none
none[0.9976]  arg1_node[0.0015]  arg2_node[0.0008]  none
none[0.9976]  arg1_node[0.0015]  arg2_node[0.0008]  none
none[0.9976]  arg1_node[0.0015]  arg2_node[0.0008]  none
none[0.9976]  arg1_node[0.0015]  arg2_node[0.0008]  none
none[0.9385]  arg1_node[0.0608]  arg2_node[0.0007]  none
none[0.9976]  arg1_node[0.0015]  arg2_node[0.0008]  none
none[0.9385]  arg1_node[0.0608]  arg2_node[0.0007]  none
none[0.9976]  arg1_node[0.0015]  arg2_node[0.0008]  none
none[0.6765]  arg1_node[0.3227]  arg2_node[0.0008]  none
none[0.9734]  arg1_node[0.0263]  arg2_node[0.0003]  none
none[0.8532]  arg1_node[0.1462]  arg2_node[0.0006]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9191]  arg1_node[0.0803]  arg2_node[0.0006]  none
none[0.8974]  arg1_node[0.1020]  arg2_node[0.0006]  none
none[0.9672]  arg1_node[0.0321]  arg2_node[0.0007]  none
none[0.9672]  arg1_node[0.0321]  arg2_node[0.0007]  none
none[0.9672]  arg1_node[0.0321]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9976]  arg1_node[0.0015]  arg2_node[0.0008]  none
none[0.9976]  arg1_node[0.0015]  arg2_node[0.0008]  none
none[0.9988]  arg1_node[0.0002]  arg2_node[0.0010]  none
none[0.0625]  arg1_node[0.0003]  arg2_node[0.9372]  arg2_node
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9634]  arg1_node[0.0001]  arg2_node[0.0366]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.2550]  arg1_node[0.7408]  arg2_node[0.0042]  arg1_node
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9659]  arg1_node[0.0315]  arg2_node[0.0026]  none
none[0.9852]  arg1_node[0.0141]  arg2_node[0.0007]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9988]  arg1_node[0.0002]  arg2_node[0.0010]  none
none[0.0625]  arg1_node[0.0003]  arg2_node[0.9372]  arg2_node
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9634]  arg1_node[0.0001]  arg2_node[0.0366]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.4678]  arg1_node[0.5291]  arg2_node[0.0032]  arg1_node
none[0.9984]  arg1_node[0.0009]  arg2_node[0.0006]  none
none[0.9092]  arg1_node[0.0895]  arg2_node[0.0013]  none
none[0.9712]  arg1_node[0.0262]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0021]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0001]  arg2_node[0.0010]  none
none[0.0620]  arg1_node[0.0002]  arg2_node[0.9378]  arg2_node
none[0.9972]  arg1_node[0.0000]  arg2_node[0.0027]  none
none[0.9631]  arg1_node[0.0001]  arg2_node[0.0369]  none
none[0.9972]  arg1_node[0.0000]  arg2_node[0.0027]  none
