0[0.9988]  1[0.0012]  0
0[0.9996]  1[0.0004]  0
0[0.0003]  1[0.9997]  1
0[0.0213]  1[0.9787]  1
0[0.9999]  1[0.0001]  0
0[0.9993]  1[0.0007]  0
0[0.9874]  1[0.0126]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.0543]  1[0.9457]  1
0[0.9999]  1[0.0001]  0
0[0.9973]  1[0.0027]  0
0[0.0691]  1[0.9309]  1
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9995]  1[0.0005]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.0220]  1[0.9780]  1
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.0008]  1[0.9992]  1
0[1.0000]  1[0.0000]  0
0[0.0171]  1[0.9829]  1
0[0.9999]  1[0.0001]  0
0[0.9998]  1[0.0002]  0
0[0.9998]  1[0.0002]  0
0[1.0000]  1[0.0000]  0
0[0.0003]  1[0.9997]  1
0[0.0004]  1[0.9996]  1
0[0.0050]  1[0.9950]  1
0[0.9920]  1[0.0080]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9996]  1[0.0004]  0
0[0.0072]  1[0.9928]  1
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.0124]  1[0.9876]  1
0[0.9999]  1[0.0001]  0
0[0.9903]  1[0.0097]  0
0[0.0129]  1[0.9871]  1
0[0.0038]  1[0.9962]  1
0[0.0004]  1[0.9996]  1
0[0.9990]  1[0.0010]  0
0[0.9996]  1[0.0004]  0
0[0.9987]  1[0.0013]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.0046]  1[0.9954]  1
0[0.9991]  1[0.0009]  0
0[1.0000]  1[0.0000]  0
0[0.9986]  1[0.0014]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.0020]  1[0.9980]  1
0[0.9996]  1[0.0004]  0
0[0.9974]  1[0.0026]  0
0[0.0349]  1[0.9651]  1
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9982]  1[0.0018]  0
0[0.9942]  1[0.0058]  0
0[0.0309]  1[0.9691]  1
0[0.9958]  1[0.0042]  0
0[0.0072]  1[0.9928]  1
0[0.0764]  1[0.9236]  1
0[0.0073]  1[0.9927]  1
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.0267]  1[0.9733]  1
0[0.0854]  1[0.9146]  1
0[0.9995]  1[0.0005]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.0089]  1[0.9911]  1
0[0.9995]  1[0.0005]  0
0[1.0000]  1[0.0000]  0
0[0.1607]  1[0.8393]  1
0[0.0008]  1[0.9992]  1
0[0.0002]  1[0.9998]  1
0[0.9999]  1[0.0001]  0
0[0.9996]  1[0.0004]  0
0[0.9998]  1[0.0002]  0
0[0.0006]  1[0.9994]  1
0[0.9973]  1[0.0027]  0
0[0.9927]  1[0.0073]  0
