doc_23.txt.ptree,0,7,0..6,Kaiser
doc_23.txt.ptree,0,9,7..17,Foundation
doc_23.txt.ptree,0,11,18..24,Health
doc_23.txt.ptree,0,13,25..29,Plan
doc_23.txt.ptree,0,16,30..32,of
doc_23.txt.ptree,0,19,33..38,Texas
doc_23.txt.ptree,0,21,38..39,COMMA
doc_23.txt.ptree,0,25,40..43,the
doc_23.txt.ptree,0,27,44..50,Dallas
doc_23.txt.ptree,0,29,51..55,area
doc_23.txt.ptree,0,31,55..57,'s
doc_23.txt.ptree,0,33,58..65,biggest
doc_23.txt.ptree,0,35,66..84,health-maintenance
doc_23.txt.ptree,0,37,85..97,organization
doc_23.txt.ptree,0,39,97..98,COMMA
doc_23.txt.ptree,0,42,99..102,had
doc_23.txt.ptree,0,46,103..104,a
doc_23.txt.ptree,0,50,105..106,$
doc_23.txt.ptree,0,52,106..110,16.3
doc_23.txt.ptree,0,54,111..118,million
doc_23.txt.ptree,0,56,119..125,pretax
doc_23.txt.ptree,0,58,126..130,loss
doc_23.txt.ptree,0,61,131..135,last
doc_23.txt.ptree,0,63,136..140,year
doc_23.txt.ptree,0,66,141..146,after
doc_23.txt.ptree,0,70,147..152,being
doc_23.txt.ptree,0,73,153..156,hit
doc_23.txt.ptree,0,76,157..161,with
doc_23.txt.ptree,0,80,162..164,an
doc_23.txt.ptree,0,83,165..174,unusually
doc_23.txt.ptree,0,85,175..179,high
doc_23.txt.ptree,0,87,180..186,number
doc_23.txt.ptree,0,90,187..189,of
doc_23.txt.ptree,0,93,190..201,malpractice
doc_23.txt.ptree,0,95,202..207,suits
doc_23.txt.ptree,0,97,207..208,.
doc_23.txt.ptree,1,6,210..216,Kaiser
doc_23.txt.ptree,1,8,216..217,COMMA
doc_23.txt.ptree,1,12,218..219,a
doc_23.txt.ptree,1,14,220..224,unit
doc_23.txt.ptree,1,17,225..227,of
doc_23.txt.ptree,1,21,228..234,Kaiser
doc_23.txt.ptree,1,23,235..245,Foundation
doc_23.txt.ptree,1,25,246..252,Health
doc_23.txt.ptree,1,27,253..257,Plan
doc_23.txt.ptree,1,29,258..262,Inc.
doc_23.txt.ptree,1,32,263..265,of
doc_23.txt.ptree,1,35,266..273,Oakland
doc_23.txt.ptree,1,37,273..274,COMMA
doc_23.txt.ptree,1,39,275..281,Calif.
doc_23.txt.ptree,1,41,281..282,COMMA
doc_23.txt.ptree,1,44,283..287,says
doc_23.txt.ptree,1,49,288..290,it
doc_23.txt.ptree,1,52,291..295,took
doc_23.txt.ptree,1,55,296..297,a
doc_23.txt.ptree,1,59,298..299,$
doc_23.txt.ptree,1,61,299..301,28
doc_23.txt.ptree,1,63,302..309,million
doc_23.txt.ptree,1,65,310..316,charge
doc_23.txt.ptree,1,69,317..319,to
doc_23.txt.ptree,1,72,320..327,reserve
doc_23.txt.ptree,1,75,328..333,money
doc_23.txt.ptree,1,78,334..337,for
