none[0.0593]  arg1_node[0.9287]  arg2_node[0.0120]  arg1_node
none[0.6785]  arg1_node[0.0098]  arg2_node[0.3117]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
none[0.9950]  arg1_node[0.0004]  arg2_node[0.0046]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0009]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.2056]  arg1_node[0.7903]  arg2_node[0.0041]  arg1_node
none[0.9867]  arg1_node[0.0123]  arg2_node[0.0010]  none
none[0.9878]  arg1_node[0.0119]  arg2_node[0.0003]  none
none[0.0841]  arg1_node[0.0010]  arg2_node[0.9149]  arg2_node
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9473]  arg1_node[0.0000]  arg2_node[0.0526]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9868]  arg1_node[0.0107]  arg2_node[0.0025]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9691]  arg1_node[0.0307]  arg2_node[0.0002]  none
none[0.9977]  arg1_node[0.0018]  arg2_node[0.0006]  none
none[0.9692]  arg1_node[0.0306]  arg2_node[0.0002]  none
none[0.9831]  arg1_node[0.0165]  arg2_node[0.0004]  none
none[0.2255]  arg1_node[0.7735]  arg2_node[0.0010]  arg1_node
none[0.2374]  arg1_node[0.7620]  arg2_node[0.0006]  arg1_node
none[0.9991]  arg1_node[0.0002]  arg2_node[0.0007]  none
none[0.0882]  arg1_node[0.0005]  arg2_node[0.9113]  arg2_node
none[0.9981]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9745]  arg1_node[0.0001]  arg2_node[0.0255]  none
none[0.9990]  arg1_node[0.0001]  arg2_node[0.0009]  none
none[0.9981]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9981]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9975]  arg1_node[0.0001]  arg2_node[0.0024]  none
none[0.9882]  arg1_node[0.0097]  arg2_node[0.0021]  none
none[0.9981]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.0462]  arg1_node[0.9451]  arg2_node[0.0087]  arg1_node
none[0.6899]  arg1_node[0.0130]  arg2_node[0.2970]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.9951]  arg1_node[0.0006]  arg2_node[0.0043]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.3505]  arg1_node[0.0003]  arg2_node[0.6492]  arg2_node
none[0.9965]  arg1_node[0.0000]  arg2_node[0.0034]  none
none[0.9817]  arg1_node[0.0000]  arg2_node[0.0183]  none
none[0.9965]  arg1_node[0.0000]  arg2_node[0.0034]  none
none[0.9965]  arg1_node[0.0000]  arg2_node[0.0034]  none
none[0.9965]  arg1_node[0.0000]  arg2_node[0.0034]  none
none[0.9965]  arg1_node[0.0000]  arg2_node[0.0034]  none
none[0.9965]  arg1_node[0.0000]  arg2_node[0.0035]  none
none[0.1029]  arg1_node[0.8967]  arg2_node[0.0004]  arg1_node
none[0.9985]  arg1_node[0.0005]  arg2_node[0.0010]  none
none[0.0644]  arg1_node[0.0010]  arg2_node[0.9346]  arg2_node
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9644]  arg1_node[0.0002]  arg2_node[0.0354]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9712]  arg1_node[0.0260]  arg2_node[0.0028]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.2086]  arg1_node[0.7896]  arg2_node[0.0018]  arg1_node
none[0.9974]  arg1_node[0.0002]  arg2_node[0.0024]  none
none[0.0275]  arg1_node[0.0002]  arg2_node[0.9724]  arg2_node
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9177]  arg1_node[0.0001]  arg2_node[0.0823]  none
none[0.9935]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9935]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9935]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9935]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9935]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9935]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9935]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9935]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9916]  arg1_node[0.0001]  arg2_node[0.0083]  none
none[0.9916]  arg1_node[0.0001]  arg2_node[0.0083]  none
none[0.9916]  arg1_node[0.0001]  arg2_node[0.0083]  none
none[0.9816]  arg1_node[0.0114]  arg2_node[0.0070]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9935]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9916]  arg1_node[0.0001]  arg2_node[0.0083]  none
none[0.0563]  arg1_node[0.9330]  arg2_node[0.0107]  arg1_node
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
none[0.6901]  arg1_node[0.0106]  arg2_node[0.2993]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
