doc_175.txt.ptree,0,5,0..6,United
doc_175.txt.ptree,0,7,7..19,Technologies
doc_175.txt.ptree,0,9,20..25,Corp.
doc_175.txt.ptree,0,12,26..32,agreed
doc_175.txt.ptree,0,16,33..35,to
doc_175.txt.ptree,0,19,36..39,pay
doc_175.txt.ptree,0,23,40..41,$
doc_175.txt.ptree,0,25,41..44,150
doc_175.txt.ptree,0,27,45..52,million
doc_175.txt.ptree,0,30,53..58,under
doc_175.txt.ptree,0,34,59..61,an
doc_175.txt.ptree,0,36,62..71,agreement
doc_175.txt.ptree,0,39,72..76,with
doc_175.txt.ptree,0,42,77..80,the
doc_175.txt.ptree,0,44,81..85,U.S.
doc_175.txt.ptree,0,46,86..93,Justice
doc_175.txt.ptree,0,48,94..104,Department
doc_175.txt.ptree,0,52,105..107,to
doc_175.txt.ptree,0,55,108..114,settle
doc_175.txt.ptree,0,58,115..122,charges
doc_175.txt.ptree,0,61,123..127,that
doc_175.txt.ptree,0,66,128..131,the
doc_175.txt.ptree,0,68,132..139,company
doc_175.txt.ptree,0,70,139..141,'s
doc_175.txt.ptree,0,72,142..150,Sikorsky
doc_175.txt.ptree,0,74,151..159,Aircraft
doc_175.txt.ptree,0,76,160..164,unit
doc_175.txt.ptree,0,79,165..175,improperly
doc_175.txt.ptree,0,82,176..182,billed
doc_175.txt.ptree,0,85,183..186,the
doc_175.txt.ptree,0,87,187..197,government
doc_175.txt.ptree,0,90,198..200,on
doc_175.txt.ptree,0,93,201..209,military
doc_175.txt.ptree,0,95,210..221,helicopters
doc_175.txt.ptree,0,97,221..222,.
doc_175.txt.ptree,1,5,224..227,The
doc_175.txt.ptree,1,7,228..236,improper
doc_175.txt.ptree,1,9,237..245,billings
doc_175.txt.ptree,1,12,246..254,occurred
doc_175.txt.ptree,1,15,255..259,from
doc_175.txt.ptree,1,18,260..264,1982
doc_175.txt.ptree,1,21,265..272,through
doc_175.txt.ptree,1,24,273..277,1988
doc_175.txt.ptree,1,26,277..278,.
doc_175.txt.ptree,2,5,280..288,Although
doc_175.txt.ptree,2,9,289..292,the
doc_175.txt.ptree,2,11,293..300,company
doc_175.txt.ptree,2,14,301..304,has
doc_175.txt.ptree,2,17,305..312,claimed
doc_175.txt.ptree,2,20,313..317,that
doc_175.txt.ptree,2,24,318..320,it
doc_175.txt.ptree,2,29,322..333,voluntarily
doc_175.txt.ptree,2,35,335..344,disclosed
doc_175.txt.ptree,2,38,345..349,them
doc_175.txt.ptree,2,41,350..352,to
doc_175.txt.ptree,2,44,353..356,the
doc_175.txt.ptree,2,46,357..367,government
doc_175.txt.ptree,2,49,368..370,in
doc_175.txt.ptree,2,52,371..375,1988
doc_175.txt.ptree,2,54,375..376,COMMA
doc_175.txt.ptree,2,57,377..379,an
doc_175.txt.ptree,2,59,380..388,employee
doc_175.txt.ptree,2,62,389..393,also
doc_175.txt.ptree,2,65,394..402,reported
doc_175.txt.ptree,2,68,403..407,them
doc_175.txt.ptree,2,71,408..413,about
doc_175.txt.ptree,2,74,414..417,the
doc_175.txt.ptree,2,76,418..422,same
doc_175.txt.ptree,2,78,423..427,time
doc_175.txt.ptree,2,81,428..433,under
doc_175.txt.ptree,2,84,434..437,the
doc_175.txt.ptree,2,86,438..445,federal
doc_175.txt.ptree,2,88,446..460,whistle-blower
doc_175.txt.ptree,2,90,461..464,act
doc_175.txt.ptree,2,92,464..465,.
doc_175.txt.ptree,3,5,467..472,Under
doc_175.txt.ptree,3,9,473..477,that
doc_175.txt.ptree,3,11,478..485,statute
doc_175.txt.ptree,3,13,485..486,COMMA
doc_175.txt.ptree,3,16,487..492,aimed
doc_175.txt.ptree,3,19,493..495,at
doc_175.txt.ptree,3,22,496..507,encouraging
doc_175.txt.ptree,3,24,508..517,employees
doc_175.txt.ptree,3,28,518..520,to
doc_175.txt.ptree,3,31,521..527,report
doc_175.txt.ptree,3,34,528..538,wrongdoing
doc_175.txt.ptree,3,37,539..541,by
doc_175.txt.ptree,3,40,542..547,their
doc_175.txt.ptree,3,42,548..557,employers
doc_175.txt.ptree,3,44,557..558,COMMA
doc_175.txt.ptree,3,47,559..562,the
doc_175.txt.ptree,3,49,563..577,whistle-blower
doc_175.txt.ptree,3,52,578..582,will
doc_175.txt.ptree,3,55,583..590,receive
doc_175.txt.ptree,3,60,591..592,$
doc_175.txt.ptree,3,62,592..596,22.5
doc_175.txt.ptree,3,64,597..604,million
doc_175.txt.ptree,3,67,605..607,of
doc_175.txt.ptree,3,71,608..611,the
doc_175.txt.ptree,3,73,612..617,money
doc_175.txt.ptree,3,76,618..620,in
doc_175.txt.ptree,3,79,621..627,reward
