0[0.9162]  1[0.0838]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9990]  1[0.0010]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9983]  1[0.0017]  0
0[1.0000]  1[0.0000]  0
0[0.0585]  1[0.9415]  1
0[0.9999]  1[0.0001]  0
0[0.0514]  1[0.9486]  1
0[1.0000]  1[0.0000]  0
0[0.0584]  1[0.9416]  1
0[0.9998]  1[0.0002]  0
0[0.0020]  1[0.9980]  1
0[0.9975]  1[0.0025]  0
0[0.0733]  1[0.9267]  1
0[0.9996]  1[0.0004]  0
0[0.9874]  1[0.0126]  0
0[0.9997]  1[0.0003]  0
0[0.0336]  1[0.9664]  1
0[0.0712]  1[0.9288]  1
0[1.0000]  1[0.0000]  0
0[0.0001]  1[0.9999]  1
0[1.0000]  1[0.0000]  0
0[0.9385]  1[0.0615]  0
0[0.9995]  1[0.0005]  0
0[0.0535]  1[0.9465]  1
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9996]  1[0.0004]  0
0[0.0000]  1[1.0000]  1
0[0.0098]  1[0.9902]  1
0[0.0311]  1[0.9689]  1
0[0.9999]  1[0.0001]  0
0[0.0133]  1[0.9867]  1
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9988]  1[0.0012]  0
0[1.0000]  1[0.0000]  0
0[0.9992]  1[0.0008]  0
0[0.9996]  1[0.0004]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.3370]  1[0.6630]  1
0[0.9999]  1[0.0001]  0
0[0.9700]  1[0.0300]  0
0[0.9999]  1[0.0001]  0
0[0.6808]  1[0.3192]  0
0[0.9848]  1[0.0152]  0
0[0.9974]  1[0.0026]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9996]  1[0.0004]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9990]  1[0.0010]  0
0[0.9991]  1[0.0009]  0
0[0.0075]  1[0.9925]  1
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.0002]  1[0.9998]  1
0[0.0000]  1[1.0000]  1
0[0.0001]  1[0.9999]  1
0[0.9926]  1[0.0074]  0
0[0.0022]  1[0.9978]  1
0[1.0000]  1[0.0000]  0
0[0.0389]  1[0.9611]  1
0[0.9997]  1[0.0003]  0
0[0.9998]  1[0.0002]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9571]  1[0.0429]  0
0[1.0000]  1[0.0000]  0
0[0.9939]  1[0.0061]  0
0[0.9996]  1[0.0004]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9962]  1[0.0038]  0
0[0.2156]  1[0.7844]  1
0[0.9639]  1[0.0361]  0
0[0.0101]  1[0.9899]  1
0[0.9975]  1[0.0025]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.0044]  1[0.9956]  1
0[0.6307]  1[0.3693]  0
0[0.9905]  1[0.0095]  0
0[0.9996]  1[0.0004]  0
0[0.0002]  1[0.9998]  1
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9996]  1[0.0004]  0
0[1.0000]  1[0.0000]  0
0[0.9996]  1[0.0004]  0
0[0.9939]  1[0.0061]  0
0[0.9355]  1[0.0645]  0
0[0.9958]  1[0.0042]  0
0[0.0296]  1[0.9704]  1
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9998]  1[0.0002]  0
0[0.0378]  1[0.9622]  1
0[0.9999]  1[0.0001]  0
0[0.9982]  1[0.0018]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9996]  1[0.0004]  0
0[0.9982]  1[0.0018]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.5615]  1[0.4385]  0
0[0.9995]  1[0.0005]  0
0[0.9998]  1[0.0002]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.0000]  1[1.0000]  1
0[0.9352]  1[0.0648]  0
0[0.9995]  1[0.0005]  0
0[0.9995]  1[0.0005]  0
0[0.9312]  1[0.0688]  0
0[0.0916]  1[0.9084]  1
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9742]  1[0.0258]  0
0[0.0150]  1[0.9850]  1
0[0.9996]  1[0.0004]  0
0[0.0322]  1[0.9678]  1
0[0.9944]  1[0.0056]  0
0[0.9960]  1[0.0040]  0
0[0.9999]  1[0.0001]  0
0[0.8551]  1[0.1449]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
