none[0.7150]  arg1_node[0.2843]  arg2_node[0.0007]  none
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9451]  arg1_node[0.0544]  arg2_node[0.0005]  none
none[0.4425]  arg1_node[0.5549]  arg2_node[0.0026]  arg1_node
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9006]  arg1_node[0.0983]  arg2_node[0.0011]  none
none[0.9688]  arg1_node[0.0290]  arg2_node[0.0022]  none
none[0.9971]  arg1_node[0.0023]  arg2_node[0.0006]  none
none[0.9990]  arg1_node[0.0001]  arg2_node[0.0009]  none
none[0.0716]  arg1_node[0.0003]  arg2_node[0.9280]  arg2_node
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9682]  arg1_node[0.0001]  arg2_node[0.0317]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.0512]  arg1_node[0.9407]  arg2_node[0.0081]  arg1_node
none[0.7252]  arg1_node[0.0123]  arg2_node[0.2625]  none
none[0.9983]  arg1_node[0.0010]  arg2_node[0.0007]  none
none[0.9959]  arg1_node[0.0005]  arg2_node[0.0036]  none
none[0.9983]  arg1_node[0.0010]  arg2_node[0.0007]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.0397]  arg1_node[0.9544]  arg2_node[0.0059]  arg1_node
