none[0.7178]  arg1_node[0.2817]  arg2_node[0.0005]  none
none[0.1096]  arg1_node[0.8900]  arg2_node[0.0004]  arg1_node
none[0.9986]  arg1_node[0.0005]  arg2_node[0.0009]  none
none[0.0670]  arg1_node[0.0009]  arg2_node[0.9321]  arg2_node
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9658]  arg1_node[0.0002]  arg2_node[0.0340]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9730]  arg1_node[0.0243]  arg2_node[0.0027]  none
none[0.9912]  arg1_node[0.0062]  arg2_node[0.0026]  none
none[0.8828]  arg1_node[0.1136]  arg2_node[0.0036]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9974]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9974]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9974]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9974]  arg1_node[0.0001]  arg2_node[0.0024]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0025]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9965]  arg1_node[0.0002]  arg2_node[0.0033]  none
none[0.9911]  arg1_node[0.0083]  arg2_node[0.0006]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9851]  arg1_node[0.0143]  arg2_node[0.0006]  none
