none[0.6667]  arg1_node[0.3325]  arg2_node[0.0008]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9976]  arg1_node[0.0015]  arg2_node[0.0008]  none
none[0.9976]  arg1_node[0.0015]  arg2_node[0.0008]  none
none[0.9737]  arg1_node[0.0260]  arg2_node[0.0003]  none
none[0.9735]  arg1_node[0.0262]  arg2_node[0.0003]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9976]  arg1_node[0.0015]  arg2_node[0.0008]  none
none[0.9976]  arg1_node[0.0015]  arg2_node[0.0008]  none
none[0.4666]  arg1_node[0.5324]  arg2_node[0.0011]  arg1_node
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.2550]  arg1_node[0.7408]  arg2_node[0.0042]  arg1_node
none[0.9659]  arg1_node[0.0315]  arg2_node[0.0026]  none
none[0.9949]  arg1_node[0.0044]  arg2_node[0.0007]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9988]  arg1_node[0.0002]  arg2_node[0.0010]  none
none[0.0625]  arg1_node[0.0003]  arg2_node[0.9372]  arg2_node
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9634]  arg1_node[0.0001]  arg2_node[0.0366]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.4372]  arg1_node[0.5286]  arg2_node[0.0343]  arg1_node
none[0.6538]  arg1_node[0.2120]  arg2_node[0.1343]  none
none[0.9951]  arg1_node[0.0017]  arg2_node[0.0032]  none
none[0.9951]  arg1_node[0.0017]  arg2_node[0.0032]  none
none[0.9951]  arg1_node[0.0017]  arg2_node[0.0032]  none
none[0.9951]  arg1_node[0.0017]  arg2_node[0.0032]  none
none[0.9951]  arg1_node[0.0017]  arg2_node[0.0032]  none
none[0.9810]  arg1_node[0.0128]  arg2_node[0.0062]  none
none[0.9951]  arg1_node[0.0017]  arg2_node[0.0032]  none
none[0.9949]  arg1_node[0.0019]  arg2_node[0.0032]  none
none[0.9951]  arg1_node[0.0017]  arg2_node[0.0032]  none
none[0.9951]  arg1_node[0.0017]  arg2_node[0.0032]  none
none[0.9951]  arg1_node[0.0017]  arg2_node[0.0032]  none
none[0.9951]  arg1_node[0.0017]  arg2_node[0.0032]  none
none[0.9951]  arg1_node[0.0017]  arg2_node[0.0032]  none
none[0.5270]  arg1_node[0.0075]  arg2_node[0.4656]  none
none[0.9862]  arg1_node[0.0001]  arg2_node[0.0138]  none
none[0.9728]  arg1_node[0.0006]  arg2_node[0.0266]  none
none[0.9862]  arg1_node[0.0001]  arg2_node[0.0138]  none
none[0.9861]  arg1_node[0.0001]  arg2_node[0.0138]  none
none[0.9861]  arg1_node[0.0001]  arg2_node[0.0139]  none
none[0.9861]  arg1_node[0.0001]  arg2_node[0.0138]  none
none[0.9861]  arg1_node[0.0001]  arg2_node[0.0138]  none
none[0.9861]  arg1_node[0.0001]  arg2_node[0.0138]  none
none[0.9861]  arg1_node[0.0001]  arg2_node[0.0138]  none
none[0.9861]  arg1_node[0.0001]  arg2_node[0.0138]  none
none[0.8411]  arg1_node[0.1585]  arg2_node[0.0004]  none
none[0.9983]  arg1_node[0.0013]  arg2_node[0.0004]  none
none[0.9505]  arg1_node[0.0491]  arg2_node[0.0004]  none
none[0.9704]  arg1_node[0.0294]  arg2_node[0.0002]  none
none[0.4312]  arg1_node[0.5682]  arg2_node[0.0007]  arg1_node
none[0.2291]  arg1_node[0.7684]  arg2_node[0.0026]  arg1_node
none[0.9977]  arg1_node[0.0018]  arg2_node[0.0006]  none
none[0.9620]  arg1_node[0.0362]  arg2_node[0.0018]  none
none[0.9983]  arg1_node[0.0013]  arg2_node[0.0004]  none
none[0.9966]  arg1_node[0.0029]  arg2_node[0.0005]  none
none[0.9983]  arg1_node[0.0013]  arg2_node[0.0004]  none
none[0.9957]  arg1_node[0.0038]  arg2_node[0.0005]  none
none[0.9983]  arg1_node[0.0013]  arg2_node[0.0004]  none
none[0.9991]  arg1_node[0.0002]  arg2_node[0.0007]  none
none[0.0882]  arg1_node[0.0005]  arg2_node[0.9113]  arg2_node
none[0.9981]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.9745]  arg1_node[0.0001]  arg2_node[0.0255]  none
none[0.9990]  arg1_node[0.0001]  arg2_node[0.0009]  none
none[0.9981]  arg1_node[0.0001]  arg2_node[0.0019]  none
none[0.8827]  arg1_node[0.0697]  arg2_node[0.0476]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9913]  arg1_node[0.0061]  arg2_node[0.0026]  none
none[0.2969]  arg1_node[0.6983]  arg2_node[0.0048]  arg1_node
none[0.5642]  arg1_node[0.3981]  arg2_node[0.0377]  none
none[0.7331]  arg1_node[0.1387]  arg2_node[0.1282]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9871]  arg1_node[0.0075]  arg2_node[0.0053]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.5680]  arg1_node[0.0047]  arg2_node[0.4273]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9769]  arg1_node[0.0003]  arg2_node[0.0228]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9881]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.9878]  arg1_node[0.0000]  arg2_node[0.0121]  none
none[0.9878]  arg1_node[0.0000]  arg2_node[0.0121]  none
none[0.9878]  arg1_node[0.0000]  arg2_node[0.0121]  none
none[0.9878]  arg1_node[0.0000]  arg2_node[0.0121]  none
none[0.4800]  arg1_node[0.5193]  arg2_node[0.0007]  arg1_node
none[0.9990]  arg1_node[0.0008]  arg2_node[0.0003]  none
none[0.9990]  arg1_node[0.0008]  arg2_node[0.0003]  none
none[0.9990]  arg1_node[0.0008]  arg2_node[0.0003]  none
none[0.9986]  arg1_node[0.0010]  arg2_node[0.0004]  none
none[0.9986]  arg1_node[0.0010]  arg2_node[0.0004]  none
none[0.9372]  arg1_node[0.0625]  arg2_node[0.0003]  none
none[0.9990]  arg1_node[0.0008]  arg2_node[0.0003]  none
none[0.9616]  arg1_node[0.0206]  arg2_node[0.0178]  none
none[0.8318]  arg1_node[0.0516]  arg2_node[0.1165]  none
none[0.9990]  arg1_node[0.0008]  arg2_node[0.0003]  none
none[0.9990]  arg1_node[0.0008]  arg2_node[0.0003]  none
none[0.9990]  arg1_node[0.0008]  arg2_node[0.0003]  none
none[0.9990]  arg1_node[0.0008]  arg2_node[0.0003]  none
none[0.9990]  arg1_node[0.0008]  arg2_node[0.0003]  none
none[0.9995]  arg1_node[0.0001]  arg2_node[0.0004]  none
none[0.1338]  arg1_node[0.0004]  arg2_node[0.8658]  arg2_node
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0012]  none
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0012]  none
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0012]  none
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0012]  none
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0012]  none
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0012]  none
none[0.9838]  arg1_node[0.0000]  arg2_node[0.0161]  none
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0012]  none
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0011]  none
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0012]  none
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0012]  none
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0012]  none
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0012]  none
none[0.9988]  arg1_node[0.0000]  arg2_node[0.0012]  none
none[0.9984]  arg1_node[0.0000]  arg2_node[0.0015]  none
none[0.9984]  arg1_node[0.0000]  arg2_node[0.0015]  none
none[0.9984]  arg1_node[0.0000]  arg2_node[0.0015]  none
none[0.9984]  arg1_node[0.0000]  arg2_node[0.0015]  none
none[0.9984]  arg1_node[0.0000]  arg2_node[0.0015]  none
none[0.9984]  arg1_node[0.0000]  arg2_node[0.0015]  none
none[0.9984]  arg1_node[0.0000]  arg2_node[0.0015]  none
none[0.2413]  arg1_node[0.7517]  arg2_node[0.0070]  arg1_node
none[0.9977]  arg1_node[0.0012]  arg2_node[0.0011]  none
none[0.9618]  arg1_node[0.0336]  arg2_node[0.0046]  none
none[0.9977]  arg1_node[0.0012]  arg2_node[0.0011]  none
none[0.9980]  arg1_node[0.0002]  arg2_node[0.0018]  none
none[0.0360]  arg1_node[0.0002]  arg2_node[0.9639]  arg2_node
none[0.9951]  arg1_node[0.0001]  arg2_node[0.0048]  none
none[0.9364]  arg1_node[0.0001]  arg2_node[0.0635]  none
none[0.9861]  arg1_node[0.0001]  arg2_node[0.0138]  none
none[0.9860]  arg1_node[0.0001]  arg2_node[0.0139]  none
none[0.9951]  arg1_node[0.0001]  arg2_node[0.0048]  none
none[0.9951]  arg1_node[0.0001]  arg2_node[0.0048]  none
none[0.9951]  arg1_node[0.0001]  arg2_node[0.0048]  none
none[0.9951]  arg1_node[0.0001]  arg2_node[0.0048]  none
none[0.9951]  arg1_node[0.0001]  arg2_node[0.0048]  none
none[0.9951]  arg1_node[0.0001]  arg2_node[0.0048]  none
none[0.9951]  arg1_node[0.0001]  arg2_node[0.0048]  none
none[0.9951]  arg1_node[0.0001]  arg2_node[0.0048]  none
none[0.9951]  arg1_node[0.0001]  arg2_node[0.0048]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0063]  none
none[0.9506]  arg1_node[0.0471]  arg2_node[0.0024]  none
none[0.9962]  arg1_node[0.0013]  arg2_node[0.0025]  none
none[0.9834]  arg1_node[0.0142]  arg2_node[0.0024]  none
none[0.9962]  arg1_node[0.0013]  arg2_node[0.0025]  none
none[0.9961]  arg1_node[0.0013]  arg2_node[0.0026]  none
none[0.9622]  arg1_node[0.0371]  arg2_node[0.0006]  none
none[0.1609]  arg1_node[0.6933]  arg2_node[0.1459]  arg1_node
none[0.7705]  arg1_node[0.2265]  arg2_node[0.0031]  none
none[0.9962]  arg1_node[0.0013]  arg2_node[0.0025]  none
none[0.9962]  arg1_node[0.0013]  arg2_node[0.0025]  none
none[0.9962]  arg1_node[0.0013]  arg2_node[0.0025]  none
none[0.1964]  arg1_node[0.0371]  arg2_node[0.7665]  arg2_node
none[0.9893]  arg1_node[0.0001]  arg2_node[0.0106]  none
none[0.9709]  arg1_node[0.0125]  arg2_node[0.0166]  none
none[0.9892]  arg1_node[0.0001]  arg2_node[0.0107]  none
none[0.9891]  arg1_node[0.0001]  arg2_node[0.0109]  none
none[0.9891]  arg1_node[0.0001]  arg2_node[0.0109]  none
none[0.9891]  arg1_node[0.0001]  arg2_node[0.0109]  none
none[0.9891]  arg1_node[0.0001]  arg2_node[0.0109]  none
none[0.9890]  arg1_node[0.0001]  arg2_node[0.0109]  none
none[0.9890]  arg1_node[0.0001]  arg2_node[0.0109]  none
none[0.6854]  arg1_node[0.1842]  arg2_node[0.1304]  none
none[0.9980]  arg1_node[0.0007]  arg2_node[0.0014]  none
none[0.7348]  arg1_node[0.0357]  arg2_node[0.2295]  none
none[0.8788]  arg1_node[0.1078]  arg2_node[0.0134]  none
none[0.9939]  arg1_node[0.0008]  arg2_node[0.0053]  none
none[0.9980]  arg1_node[0.0007]  arg2_node[0.0014]  none
none[0.9814]  arg1_node[0.0178]  arg2_node[0.0008]  none
none[0.9337]  arg1_node[0.0050]  arg2_node[0.0613]  none
none[0.9941]  arg1_node[0.0000]  arg2_node[0.0058]  none
none[0.9921]  arg1_node[0.0000]  arg2_node[0.0079]  none
none[0.9921]  arg1_node[0.0000]  arg2_node[0.0079]  none
none[0.9921]  arg1_node[0.0000]  arg2_node[0.0079]  none
none[0.9921]  arg1_node[0.0000]  arg2_node[0.0079]  none
none[0.9921]  arg1_node[0.0000]  arg2_node[0.0079]  none
none[0.9921]  arg1_node[0.0000]  arg2_node[0.0079]  none
none[0.9921]  arg1_node[0.0000]  arg2_node[0.0079]  none
none[0.9921]  arg1_node[0.0000]  arg2_node[0.0079]  none
none[0.9921]  arg1_node[0.0000]  arg2_node[0.0079]  none
